ACRES,NA_NAME,OWNER,R_RATING,C_RATING,TOP_RATING,DATA_DATE
13.46,Camp Creek Bluff,PRV,R5 (General),C5 (General),General,10/4/2022
298.18,Moses Cone Park/Flat Top Mountain,USNPS,R5 (General),C5 (General),General,10/4/2022
47.32,Sims Creek Old Growth Forest,USNPS,R3 (High),C4 (Moderate),High,10/4/2022
28.33,Heaven Rock Outcrop,PRV,R3 (High),C4 (Moderate),High,10/4/2022
1854.69,South Fork Laurel Creek/Dugger Mountain,PRV,R5 (General),C4 (Moderate),Moderate,10/4/2022
665.72,Simms Hill/Little River Uplands,"NCDPR, PRV",R3 (High),C4 (Moderate),High,10/4/2022
323.6,Brown Mountain Greenstone Forests,USFS,R5 (General),C5 (General),General,10/4/2022
85.23,Island Creek Heath Bluff,PRV,R2 (Very High),C5 (General),Very High,10/4/2022
6.01,Wildcat Road Meadow,PRV,R5 (General),C5 (General),General,10/4/2022
6,First Broad/Five Points Bluff,PRV,R5 (General),C5 (General),General,10/4/2022
49.41,Hicks Hill Bluffs and Forests,PRV,R5 (General),C4 (Moderate),Moderate,10/4/2022
6.5,Knob Creek Natural Area,PRV,R5 (General),C5 (General),General,10/4/2022
234.72,WAT/Watauga River Aquatic Habitat,PW,R2 (Very High),C4 (Moderate),Very High,10/4/2022
101.39,Murrays Mill/Upper Balls Creek Natural Area,PRV,R4 (Moderate),C5 (General),Moderate,10/4/2022
60.95,Terrapin Creek Corridor,PRV,R5 (General),C5 (General),General,10/4/2022
39.07,Henry Fork River Slopes,PRV,R5? (General?),C5 (General),General,10/4/2022
104.7,Lyle Creek Corridor,PRV,R5 (General),C5 (General),General,10/4/2022
18.72,Linville Gap Wetland,PRV,R1 (Exceptional),C2 (Very High),Exceptional,10/4/2022
6.82,Brushy Creek Bluff,PRV,R5 (General),C5 (General),General,10/4/2022
690.5,Lost Cove Cliffs,USFS,R2 (Very High),C3 (High),Very High,10/4/2022
6581.57,South Mountains Henry Fork Watershed,"NCDPR, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,10/4/2022
644.07,W. Kerr Scott Reservoir,USACE,R2 (Very High),C4 (Moderate),Very High,10/4/2022
968.23,Buffalo Creek Gorge,NCWRC,R3 (High),C4 (Moderate),High,10/4/2022
2120.54,Cherry Mountain,PRV,R2 (Very High),C4 (Moderate),Very High,10/4/2022
569.93,Sassafras Creek Forests,USFS,R3 (High),C4 (Moderate),High,10/4/2022
50.91,Cat Square Heartleaf Forest,PRV,R5 (General),C5 (General),General,10/4/2022
79.3,Indian Creek Slopes,PRV,R5 (General),C5 (General),General,10/4/2022
28.04,Leepers Creek Heartleaf Site,PRV,R5 (General),C5 (General),General,10/4/2022
146.02,Leepers Creek Monadnock and Wetland,PRV,R5 (General),C5 (General),General,10/4/2022
270.87,Little Egypt Woods,PRV,R5 (General),C5 (General),General,10/4/2022
431.84,Longs Farm/Riverbend,PRV,R3 (High),C4 (Moderate),High,10/4/2022
42.79,Mount Zion Heartleaf Forest,PRV,R5 (General),C5 (General),General,10/4/2022
525.9,Rhyne Conservation Preserve,"CLC, PRV",R3 (High),C4 (Moderate),High,10/4/2022
95.36,Wingate Creek Slopes,PRV,R5 (General),C5 (General),General,10/4/2022
210.13,Smith Cliff/Henry Fork River,PRV,R1 (Exceptional),C1 (Exceptional),Exceptional,10/4/2022
3053.59,Yellowtop/Biggerstaff Mountain,"NSL, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,10/4/2022
10965.56,Buffalo Cove Forests,"NCWRC, PRV",R2 (Very High),C2 (Very High),Very High,10/4/2022
182.88,Upper Yadkin/Stone Mountain Outcrop,PRV,R5 (General),C4 (Moderate),Moderate,10/4/2022
300.47,Julian Price Park Wetlands Natural Area,USNPS,R2 (Very High),C3 (High),Very High,10/4/2022
7336.53,South Mountains Jacob Fork Watershed,NCDPR,R1 (Exceptional),C1 (Exceptional),Exceptional,10/4/2022
880.32,Jacob Fork West Corridor,PRV,R2 (Very High),C3 (High),Very High,10/4/2022
290.83,Jacob Fork East Corridor,PRV,R5 (General),C5 (General),General,10/4/2022
5658.65,Wilson Creek Gorge,"PRV, USFS",R1 (Exceptional),C3 (High),Exceptional,10/4/2022
2539.59,Boone Fork--Mulberry Creek,"PRV, USFS",R2 (Very High),C4 (Moderate),Very High,10/4/2022
19310.41,Rollins/South Mountains Natural Area,"NCWRC, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,10/4/2022
2250.34,Lone Mountain Natural Area,"NCDMS, NCWRC, PRV",R2 (Very High),C2 (Very High),Very High,10/4/2022
6615.78,Grandfather Mountain,"NCDPR, TNC, USFS, USNPS",R1 (Exceptional),C1 (Exceptional),Exceptional,10/4/2022
446.47,Barrett Mountain,PRV,R5 (General),C5 (General),General,10/4/2022
1713.79,Smith Mountain/Hildebran Mountain,PRV,R5 (General),C5 (General),General,10/4/2022
326.2,Hall Knob,"FCNC, PRV",R2 (Very High),C3 (High),Very High,10/4/2022
123.25,BRD/First Broad River Headwaters Aquatic Habitat,PW,R1 (Exceptional),C4 (Moderate),Exceptional,10/4/2022
3.66,Little Gunpowder Creek Rare Plant Site 1,"NCDOT, PRV",R5 (General),C5 (General),General,10/4/2022
3.64,Little Gunpowder Creek Rare Plant Site 2,"NCDOT, PRV",R5 (General),C5 (General),General,10/4/2022
401.04,Mills Knob,"PRV, USFS",R5 (General),C5 (General),General,10/4/2022
1098.83,Pack Hill/Thunderhole Creek,"PRV, USFS",R5 (General),C5 (General),General,10/4/2022
7,Patterson Wetland,"NCDOT, PRV",R2 (Very High),C4 (Moderate),Very High,10/4/2022
395.05,Racket Creek Slopes,"NCFS, USFS",R4 (Moderate),C5 (General),Moderate,10/4/2022
3.07,Hartness Meadow,PRV,R5 (General),C5 (General),General,10/4/2022
8.84,Rock Creek Rare Plant Site,PRV,R3 (High),C5 (General),High,10/4/2022
49.37,Round Top Mountain,PRV,R3 (High),C5 (General),High,10/4/2022
34.45,Bristol Creek Wetlands,PRV,R2 (Very High),C4 (Moderate),Very High,10/4/2022
1737.89,Wilson Creek Slopes/Lost Cove Creek/Thorps Creek,"PRV, USFS",R2 (Very High),C3 (High),Very High,10/4/2022
616.72,Walker Hollow Ridge,USFS,R4 (Moderate),C4 (Moderate),Moderate,10/4/2022
1544.7,Rocky Knob,"PRV, USFS",R3 (High),C3 (High),High,10/4/2022
338.97,Ginger Cascades,PRV,R5 (General),C5 (General),General,10/4/2022
1591.43,Globe Mountain/Tate Mountain,"PRV, USFS",R5 (General),C4 (Moderate),Moderate,10/4/2022
1474.15,Green Mountain/Zacks Fork,PRV,R5 (General),C4 (Moderate),Moderate,10/4/2022
118.58,Guys Creek Rare Plant Site,"PRV, USFS",R3 (High),C5 (General),High,10/4/2022
156.99,Hibriten Mountain,PRV,R3 (High),C4 (Moderate),High,10/4/2022
343.15,Jerry Mountain,PRV,R5 (General),C4 (Moderate),Moderate,10/4/2022
24.68,Millsaps Outcrops,PRV,R3 (High),C4 (Moderate),High,10/4/2022
35.75,Round Top Mountain/Taylorsville,PRV,R2 (Very High),C4 (Moderate),Very High,10/4/2022
1108.86,Boone Gap Forests,PRV,R1 (Exceptional),C3 (High),Exceptional,10/4/2022
773.59,Hanging Rock Mountain,"NCDPR, PRV",R1 (Exceptional),C2 (Very High),Exceptional,10/4/2022
166.75,Buzzard Dome/Prickly-Pear Mountain,PRV,R1 (Exceptional),C3 (High),Exceptional,10/4/2022
239.73,Gwaltneys Outcrops,PRV,R2 (Very High),C4 (Moderate),Very High,10/4/2022
33.27,Carpenter Creek Heartleaf Site,PRV,R2 (Very High),C5 (General),Very High,10/4/2022
196.35,Buck Knob/Fox Mountain,PRV,R5 (General),C5 (General),General,10/4/2022
197.01,Smith Grove Church Road,PRV,R5 (General),C5 (General),General,10/4/2022
179.09,Bald Rock Mountain,PRV,R3 (High),C4 (Moderate),High,10/4/2022
49.21,Chestnut Mountain,PRV,R3 (High),C3 (High),High,10/4/2022
165.21,Joe/Little Joe Mountains,"HSWLT, PRV",R1 (Exceptional),C2 (Very High),Exceptional,10/4/2022
44.97,Little Mountain,PRV,R1 (Exceptional),C3 (High),Exceptional,10/4/2022
314.36,Henry Fork/Brookford Slopes,"LOCAL, PRV",R4 (Moderate),C4 (Moderate),Moderate,10/4/2022
270.25,Thunder Hill,FCNC,R3 (High),C4 (Moderate),High,10/4/2022
377.35,Rocky Face Mountain,"LOCAL, PRV",R1 (Exceptional),C2 (Very High),Exceptional,10/4/2022
378.29,Sugarloaf Mountain,PRV,R1 (Exceptional),C3 (High),Exceptional,10/4/2022
1521.28,Mountain Island Lake Forest,"LOCAL, NCFS, PRV",R2 (Very High),C4 (Moderate),Very High,10/4/2022
33.23,Third Creek Rare Plant Site,"NCDOT, PRV",R5 (General),C5 (General),General,10/4/2022
324.97,Asbury Mountain,PRV,R2 (Very High),C3 (High),Very High,10/4/2022
89.71,Brushy Mountains/Rocky Creek,PRV,R5 (General),C5 (General),General,10/4/2022
83.84,Gilreath Road Rare Plant Site,PRV,R5? (General?),C? (Unranked),Unranked,10/4/2022
72.71,Little Sugarloaf Mountain,PRV,R2 (Very High),C4 (Moderate),Very High,10/4/2022
112.52,Lookout Shoals Rich Slopes,PRV,R5 (General),C5 (General),General,10/4/2022
2779.86,South Mountains North Slope,"FCNC, NCDPR, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,10/4/2022
